issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"I can’t restore workspace access directly. For Claude team or enterprise workspaces, access and seats are managed by the organization owner or admin. Ask your workspace admin to re-add your seat or restore your access if appropriate.",team_and_enterprise_plans,replied,product_issue,"The corpus routes Claude team access and seat management through workspace owners/admins, so a non-admin restoration request should not be performed by the agent."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,I can’t change assessment scores or influence a hiring decision. This should be escalated to the hiring company or the appropriate HackerRank support channel for review.,screen,escalated,product_issue,Assessment outcomes and recruiter decisions are sensitive and cannot be changed by an automated support response.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,"Visa does not directly issue refunds or ban merchants from this support flow. For a disputed or incorrect purchase, contact the financial institution that issued your Visa card and ask them about the dispute process.",general_support,replied,product_issue,Visa consumer support routes transaction disputes to the card issuer rather than promising direct refunds or merchant enforcement.
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"For HackerRank Community mock interview issues or refund questions, contact HackerRank support with the details of the interrupted session and payment. The agent should not promise a refund directly.",community,replied,product_issue,"The corpus supports routing Community/mock-interview payment issues to support, but refund approval is not safe to guarantee."
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,This looks like a billing or payment-specific issue. I’m escalating it so a human support specialist can review the order and account details safely.,settings,escalated,product_issue,Payment issues require account/order-specific review and should not be resolved from generic corpus text.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,This request needs a human sales or support contact who can review your company’s security questionnaire and provide official information.,general_help,escalated,feature_request,Filling external security forms is a custom business/security workflow not safely answerable from generic support docs.
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"For HackerRank Community job search, use the Apply section when it is available on your account. If the tab is missing, confirm you are signed into the correct HackerRank Community account and contact support if it still does not appear.",community,replied,product_issue,"The ticket maps to HackerRank Community job/application navigation, which is a safe product guidance issue."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This sounds like a broad service failure rather than a normal how-to question. I’m escalating it for human/engineering review.,screen,escalated,bug,Broad platform failures are classified as bugs and escalated instead of answered with generic documentation.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"For HackerRank interview compatibility, verify that your browser, network, camera/microphone permissions, and Zoom connectivity are allowed by your system and firewall. If every other check passes but Zoom still fails, share the compatibility-check result with support so they can inspect the environment-specific blocker.",interviews,replied,product_issue,"The issue maps to HackerRank interview compatibility/Zoom setup, where documented troubleshooting can be given but environment-specific failure may need support follow-up."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,HackerRank cannot independently reschedule a company assessment from this support flow. Please contact the hiring company or recruiter that invited you to the assessment.,screen,escalated,product_issue,Assessment scheduling decisions belong to the hiring company and should be escalated/routed rather than changed by the agent.
